[ 00:08:57.665 -->  00:08:57.733] 0 SPEAKER_00
[ 00:08:59.006 -->  00:08:59.074] 0 SPEAKER_00
[ 00:08:59.074 -->  00:08:59.601] 1 SPEAKER_01
[ 00:08:59.601 -->  00:08:59.634] 0 SPEAKER_00
[ 00:09:03.998 -->  00:09:08.701] 4 SPEAKER_04
[ 00:09:09.957 -->  00:09:29.074] 4 SPEAKER_04
[ 00:09:20.212 -->  00:09:20.619] 1 SPEAKER_01
[ 00:09:29.516 -->  00:09:45.424] 3 SPEAKER_03
[ 00:09:34.083 -->  00:09:34.100] 0 SPEAKER_00
[ 00:09:34.100 -->  00:09:35.000] 4 SPEAKER_04
[ 00:09:35.000 -->  00:09:35.237] 0 SPEAKER_00
[ 00:09:39.244 -->  00:09:39.991] 0 SPEAKER_00
[ 00:09:40.517 -->  00:09:40.534] 0 SPEAKER_00
[ 00:09:40.534 -->  00:09:40.806] 4 SPEAKER_04
[ 00:09:44.898 -->  00:09:49.601] 4 SPEAKER_04
[ 00:09:46.765 -->  00:09:49.006] 3 SPEAKER_03
[ 00:09:49.006 -->  00:09:50.348] 0 SPEAKER_00
[ 00:09:50.823 -->  00:10:17.835] 4 SPEAKER_04
[ 00:10:17.071 -->  00:10:17.088] 0 SPEAKER_00
[ 00:10:17.088 -->  00:10:28.769] 3 SPEAKER_03
[ 00:10:23.624 -->  00:10:24.541] 4 SPEAKER_04
[ 00:10:27.529 -->  00:11:11.672] 4 SPEAKER_04
[ 00:10:29.091 -->  00:10:29.685] 3 SPEAKER_03
[ 00:10:42.368 -->  00:10:42.945] 2 SPEAKER_02
[ 00:10:47.835 -->  00:10:48.157] 2 SPEAKER_02
[ 00:10:50.110 -->  00:10:50.449] 2 SPEAKER_02
[ 00:11:10.993 -->  00:11:15.526] 3 SPEAKER_03
[ 00:11:15.679 -->  00:11:21.264] 3 SPEAKER_03
[ 00:11:16.935 -->  00:11:18.955] 1 SPEAKER_01
